Beam_Length_mm,Beam_Width_mm,Beam_Height_mm,Concrete_Grade_MPa,Longitudinal_Reinforcement_Ratio_percent,Stirrup_Spacing_mm,Stirrup_Diameter_mm,Steel_Yield_Strength_MPa,Concrete_Compressive_Strength_MPa,Bearing_Capacity_kN
3061.810178271044,258.6549303691098,583.5082477826599,40,2.4206313204633334,200,10,500,40,5409.692168267226
3926.0714596148746,235.13050563895013,541.5878201393475,40,1.9043632171370284,150,12,550,40,4463.967480415693
3597.990912717108,232.9330884844703,514.4874778011481,35,1.868608791528992,150,12,550,35,3959.578646371277
3397.987726295555,343.9794204070183,555.974095406166,35,1.3478516826533724,150,10,500,35,4700.863285717168
2734.027960663655,292.4450728888586,511.8799488925408,25,1.0700467268276697,150,8,550,25,2926.786454685975
2733.991780504304,283.5317664758144,592.2360992935728,30,2.417782869639317,150,12,500,30,4939.083873124163
2587.1254182523,262.3662655284983,528.4894869661929,30,1.4706028882669808,200,8,550,30,3528.464408930808
3799.2642186624025,264.34165001452163,581.1646523955617,40,1.663883534986688,150,8,450,40,4741.346445855972
3401.672517614813,281.1357505757121,479.2829730026595,30,1.1719599153785605,100,10,500,30,3207.6804751840987
2530.876741443704,305.3219144272744,482.0444303557543,25,1.041447749283896,150,10,450,25,2855.048126712581
3748.663961200633,275.0169128114941,498.1233697941012,30,1.2104275191819502,200,10,450,30,3253.5610374948783
2818.5086660174143,261.7937142551153,470.6232651319157,40,2.329846168946728,150,10,450,40,4824.510248726961
2772.737450810651,330.57904494040764,505.6438494581954,25,2.094658956004236,100,8,500,25,4203.221498958234
3287.1346474483566,217.3091963268376,472.8326079780328,30,1.468984471532829,150,8,550,30,2995.6936805691807
3147.9175279631736,290.8456833985117,587.6258903972837,25,1.2673496483673752,200,12,550,25,3402.565574705781
3417.779342083569,250.5809863348628,456.0930065134087,30,1.605284149760844,100,12,500,30,3360.29742221502
2709.2407909780627,221.42629472214975,528.6740222516555,40,1.5978155715480735,100,8,500,40,3968.334376678833
2938.216972802827,303.81104705365533,500.9481893215295,40,1.25483001220993,150,8,450,40,4314.736694028162
3184.104976325554,258.7789059782039,452.7040988918569,25,2.307425269493275,150,8,500,25,3754.2258957963386
2799.51067323754,230.64745750984557,591.5053647825521,25,2.4274053437496823,150,10,500,25,4107.721019941652
2755.786185530937,210.35688594719,545.1177845950388,35,1.5891413783870787,100,10,500,35,3613.771417730085
3948.448049611839,294.26396849218804,468.6132949611308,35,1.89644348979334,150,8,500,35,4273.8709201385
2646.508171009576,201.4968164987674,551.9064673907437,25,1.165812046625103,150,10,500,25,2542.105399013213
3526.3495397682354,308.5165493532368,542.8683362149015,25,2.383138980358497,150,12,450,25,4468.642366060105
3160.228740609402,280.3484899021368,578.7847051012241,30,2.1267225517338737,150,8,550,30,4537.526870785499
2683.0573522671684,325.4176554810873,563.6288589776874,30,1.8846694011671177,200,12,500,30,4610.951394995571
3242.765365166905,323.2082544351041,520.7938908099545,40,2.153780184993892,200,10,550,40,5496.320288808984
3863.980603118173,272.76419899693104,545.7121544966644,40,2.13768362096369,100,8,550,40,5113.297446627913
2888.169972400025,250.04425937552983,561.37770271014,30,1.5577044869118035,150,8,500,30,3688.570322611182
3493.783426530973,318.7337303887055,549.7705364429886,25,1.3661418587389036,100,12,550,25,3548.424911168893
2967.566614134116,267.6941169543882,477.11975882700654,30,2.093520131939453,200,8,550,30,4001.6846564913126
3320.06541901492,328.24610293422114,561.3324939221817,40,2.472065656489292,150,10,500,40,6097.531089838493
2777.2816832882904,332.3839815158521,531.7907024350346,40,1.5242277734621514,100,10,500,40,5069.53298233156
3954.3769416468376,269.9464634210255,595.1902935972129,25,2.382591130796599,100,12,550,25,4388.821514137022
3396.8499682166275,335.2661042819343,548.1349419053342,40,1.6496117577168476,200,10,500,40,5316.262053921897
2793.974293628718,331.60256796992576,599.6402016464071,35,2.1164555760060493,200,8,500,35,5586.486725853343
2987.9954961448966,281.2641446401345,558.8110150397164,35,1.3417011335692843,200,8,550,35,4112.731349462454
2907.023547660844,209.98470918713343,560.4038649394538,40,1.6381467913845182,150,12,450,40,3962.70452495324
3743.1062637278937,297.2477011178144,488.6551228027863,30,2.1332419855213223,200,8,450,30,4284.3653951252245
3035.129990040384,211.1158133862301,575.40780737159,25,1.9076072277711504,100,12,550,25,3434.534821571181
2921.401764531071,256.3203392699751,581.5482466036567,30,2.032943934850815,100,8,450,30,4294.799856437707
2611.825965519656,283.8588927419903,517.3288540908754,35,2.226298623937181,100,8,550,35,4755.340958805547
3980.330404900776,248.17432289539303,572.0680491278765,35,2.484838243359812,100,8,550,35,4967.425499916501
3658.367153944986,233.01669888571297,464.9854878234907,25,1.6103185939370064,100,10,500,25,2971.948302433616
2798.0735223012584,252.57808014292428,501.7432790685664,25,1.016445479697315,200,12,500,25,2610.1583730741795
3723.192142682251,210.30705165859413,551.2417084704214,35,1.978790316625628,200,10,550,35,4000.436319617681
3560.286015771426,255.436129914016,591.8320278383674,30,1.9181189773057887,200,8,550,30,4165.322868012512
3656.905520028919,308.4106628358207,473.7064879001366,40,1.3808260164416022,150,10,550,40,4298.998483449189
3037.698592816409,306.3148482843732,489.7841641157421,40,2.0319760322855047,200,8,500,40,5032.859640725806
2673.803589287694,201.25455228152856,475.6958604616701,40,1.484221746570765,200,10,450,40,3421.1214928491654
3434.947190241337,299.25264325997847,460.5165532795188,35,1.22091071274749,150,10,450,35,3645.789736427346
2595.3375254290354,200.7970213502519,480.4577188262973,25,2.321796009333461,150,12,550,25,3564.910189049161
2966.473482573493,320.67419636477337,496.4135838571998,40,1.631787069738086,100,12,450,40,4805.73111510406
3594.409267507096,282.2628744490344,540.2514957373888,30,1.8853800478895415,200,10,550,30,4177.730216533212
3456.3362070328194,209.96949886644083,528.2535729654352,40,1.287815069653535,150,10,500,40,3520.918184469069
2679.3913689074525,317.2939965736939,538.7331349462626,35,1.597962002794576,100,12,500,35,4596.920304158966
3569.8671808344925,312.7620488593761,588.7937901195331,35,1.1794456592741054,100,10,500,35,4412.178876929346
3240.693394546586,300.6736210069533,494.2340308362099,40,1.623874799399074,100,8,450,40,4573.990021288922
2538.128690116143,225.4821509076103,524.2532534835657,40,1.563558708070406,150,12,500,40,3918.307384865676
2661.8371404899567,229.24627998504337,490.0289957523371,30,2.13678718310815,100,8,450,30,3815.41864915154
3454.6156168956704,312.4966697678106,455.0624004518855,30,2.056128502963503,100,10,550,30,4141.222618242008
2971.53397161449,336.2342733050484,490.52772065580734,40,1.3901739745230988,100,12,500,40,4718.322665104916
2873.9383437233123,298.11991055418105,570.3145169407529,30,2.2469861069278743,100,10,550,30,4800.89394007951
3633.3267078145727,286.8210131767911,526.7008990526263,35,1.150317023575787,150,12,550,35,3790.461234952947
2843.197248237433,294.85869864925814,580.0095410272631,30,2.010567471581273,200,8,550,30,4550.108112765755
2741.8319308810064,307.4595667937148,492.2303514611791,25,1.289202853999689,100,12,500,25,3152.757095242006
3894.54647851386,240.64140474745483,570.4272424096462,40,1.9410632566530432,150,8,500,40,4653.851497289345
3712.180569346626,230.33812707868023,585.4763968151051,25,2.469129809706778,100,12,550,25,4148.673776792126
3450.105634765635,247.07402123366236,534.890812027817,25,1.696604359480969,200,8,550,25,3365.011620017379
