Beam_Length_mm,Beam_Width_mm,Beam_Height_mm,Concrete_Grade_MPa,Longitudinal_Reinforcement_Ratio_percent,Stirrup_Spacing_mm,Stirrup_Diameter_mm,Steel_Yield_Strength_MPa,Concrete_Compressive_Strength_MPa,Bearing_Capacity_kN
3061.8101782710437,258.6549303691098,583.5082477826599,40,2.4206313204633334,200,10,500,40,5409.692168267226
3926.0714596148746,235.13050563895013,541.5878201393475,40,1.9043632171370284,150,12,550,40,4463.967480415693
3597.9909127171077,232.9330884844703,514.4874778011481,35,1.8686087915289917,150,12,550,35,3959.578646371277
3397.987726295555,343.9794204070183,555.974095406166,35,1.3478516826533724,150,10,500,35,4700.863285717168
2734.027960663655,292.4450728888586,511.8799488925408,25,1.0700467268276697,150,8,550,25,2926.786454685975
2733.991780504304,283.5317664758144,592.2360992935728,30,2.417782869639317,150,12,500,30,4939.083873124163
2587.1254182522994,262.3662655284983,528.4894869661929,30,1.4706028882669808,200,8,550,30,3528.4644089308076
3799.2642186624025,264.34165001452163,581.1646523955617,40,1.663883534986688,150,8,450,40,4741.346445855972
3401.672517614813,281.1357505757121,479.2829730026595,30,1.1719599153785603,100,10,500,30,3207.6804751840987
3562.108866694068,304.4644710554161,379.2661032454657,40,2.255386494863938,100,10,550,40,4580.522461312614
2530.876741443704,305.3219144272744,482.0444303557543,25,1.041447749283896,150,10,450,25,2855.048126712581
3954.8647782429916,225.75408615581745,381.7182070157733,30,2.2509861431486446,200,8,450,30,3552.9818580992105
3748.663961200633,275.0169128114941,498.1233697941012,30,1.2104275191819502,200,10,450,30,3253.5610374948783
2818.5086660174143,261.7937142551153,470.62326513191573,40,2.329846168946728,150,10,450,40,4824.510248726961
2772.737450810651,330.57904494040764,505.6438494581954,25,2.094658956004236,100,8,500,25,4203.221498958234
2775.1067647801506,294.71283818275646,352.5117452637079,30,1.2470053937609578,150,8,550,30,2805.8685687897832
2956.3633644393067,279.8756099623973,398.710122913841,30,1.8487269892892022,150,8,450,30,3566.2061152732203
3287.1346474483566,217.3091963268376,472.83260797803274,30,1.468984471532829,150,8,550,30,2995.6936805691807
